Season,Player,Team,RAPM,O-RAPM,D-RAPM
2023,Alba Garcia-Valcarcel Bezos,Charleston Southern Buccaneers,-1.2823694056472414,-0.8254765039448577,-0.4568929017023837
2023,Niya Danfort,SIU Edwardsville Cougars,-1.29005825798507,-0.8047067876415432,-0.4853514703435267
2023,Jada Williams,Saint Peter's Peacocks,-1.2906846781467534,-0.46333035955351326,-0.8273543185932402
2023,Stephanie Guihon,McNeese Cowgirls,-1.2917729362054768,-0.7665579635523272,-0.5252149726531496
2023,Madison Davis,Centenary Ladies,-1.3018457774227614,-0.7562932682906136,-0.5455525091321478
2023,TaNyjah Plumber,Centenary Ladies,-1.3018755077736546,-0.7563119810666319,-0.5455635267070227
2023,Alana Jones,Centenary Ladies,-1.3018790697563207,-0.7563091319675543,-0.5455699377887665
2023,Brailey Major,Centenary Ladies,-1.3019059217208389,-0.7563310351090042,-0.5455748866118345
2023,Jazzmyn Jones,Centenary Ladies,-1.3021064092274566,-0.7564275923989574,-0.5456788168284991
2023,Mireia Yespes,McNeese Cowgirls,-1.3041008106216063,-0.03088108845176578,-1.2732197221698405
2023,Caitlin Yenne,Evergreen State Geoducks,-1.309843394698665,-0.3591316435180642,-0.9507117511806007
2023,Julia Decker,Olivet College Comets,-1.3100757166791381,-0.5187320918114915,-0.7913436248676466
2023,Courtney Balazs,Olivet College Comets,-1.3101206367268938,-0.5187580270159725,-0.7913626097109214
2023,Lily Connelly,Olivet College Comets,-1.3101521671123526,-0.5187778531133921,-0.7913743139989605
2023,Clara Shoales,Olivet College Comets,-1.3101670882637486,-0.5187847122606712,-0.7913823760030773
2023,Kinsley Hatfield,Olivet College Comets,-1.310200326098905,-0.5188055552914451,-0.7913947708074599
2023,Rachel Bolyard,Ohio Christian Trailblazers,-1.315960328874557,-0.9473184784004807,-0.36864185047407616
2023,Emma Koons,Ohio Christian Trailblazers,-1.3160000937932657,-0.9473385580430893,-0.36866153575017635
2023,Ashley DeWeese,Ohio Christian Trailblazers,-1.3160261459308145,-0.9473484917169873,-0.36867765421382714
2023,Lily Martin,Ohio Christian Trailblazers,-1.3160428992262723,-0.9473599348302686,-0.3686829643960037
2023,Haley Cox,Ohio Christian Trailblazers,-1.3160738126103968,-0.9473720376085193,-0.36870177500187745
2023,Kana Parker,Warren Wilson Owls,-1.3169826540666767,-0.5925284009401228,-0.7244542531265539
2023,Jenna Onderko,Warren Wilson Owls,-1.317013882019073,-0.5925468938682315,-0.7244669881508418
2023,Catherine Causby,Warren Wilson Owls,-1.3170454174508537,-0.5925655358535398,-0.7244798815973138
2023,Carmen Echols,Warren Wilson Owls,-1.3170471162072204,-0.592569333157266,-0.7244777830499545
2023,Tatyana Lewis,Warren Wilson Owls,-1.3170770659406346,-0.5925842158197518,-0.7244928501208827
2023,Zyhia Johnson,LaGrange College Panthers,-1.3276801184133844,-0.9426429117688778,-0.3850372066445065
2023,Laila Battle,LaGrange College Panthers,-1.3278329443890857,-0.9427299617812435,-0.3851029826078422
2023,Jada Strickland,LaGrange College Panthers,-1.328168367628389,-0.9428972971008809,-0.38527107052750814
